the_geom,the_geom_webmercator,objectid,dc_key,location_block,point_x,point_y,lat,lng
0101000020E6100000E16D10732AC852C098EB9F6D56FF4340,0101000020110F0000DF3D894A27E75FC1B5DA5F93298F5241,24490502,202524003666.0,2900 BLOCK ELLA ST,-75.12759091,39.99482508,39.99482508,-75.12759091
0101000020E6100000B74B55B954BF52C06975306A100A4440,0101000020110F0000A3F7D48525D85FC1CBBBB7A40F9B5241,24522976,202508001775.0,10800 BLOCK PELLE CIR W,-74.98954614,40.07862594,40.07862594,-74.98954614
0101000020E61000003B62C2A281C852C0E722F8BEBC034440,0101000020110F0000EFC6C862BBE75FC13FDF4B860A945241,24642395,202535004305.0,5100 BLOCK N FAIRHILL ST,-75.13291234,40.02919757,40.02919757,-75.13291234
0101000020E610000020CC5089E9CA52C04FF21B0DFDFE4340,0101000020110F0000B71F178ED1EB5FC18795917EC68E5241,24369561,202522000620.0,2300 BLOCK W HAGERT ST,-75.17050393,39.99209751,39.99209751,-75.17050393
0101000020E6100000C81FD290ADC952C022BFE1B248074440,0101000020110F00009E99D7D8B8E95FC1CA8FA8CAF9975241,24306296,202535000387.0,6700 BLOCK WYNCOTE AV,-75.15121861,40.05690609,40.05690609,-75.15121861
0101000020E61000003AEE52F2C3C952C09DA7538187074440,0101000020110F0000C9D6FADCDEE95FC193A6AE7B3F985241,24120330,202414084140.0,6900 BLOCK LIMEKILN PIKE,-75.15258463,40.05882279,40.05882279,-75.15258463
0101000020E6100000FFC0C9F413C452C0CC69053C9F034440,0101000020110F0000CAC28FB735E05FC185ECB9CAE9935241,24244146,202515000869.0,3000 BLOCK DEVEREAUX AV,-75.06371803,40.02829695,40.02829695,-75.06371803
0101000020E6100000D8380FE5D3CE52C057859BC655FD4340,0101000020110F000058F45E2978F25FC154D39D50F18C5241,24339401,202519001967.0,5400 BLOCK JEFFERSON ST,-75.23168303,39.97918017,39.97918017,-75.23168303
0101000020E6100000CC6DB1915AC952C0BEDBBC7152F64340,0101000020110F0000792B75DE2BE95FC13938E9432C855241,24698179,202503003170.0,0 BLOCK MIFFLIN ST,-75.1461529,39.924391,39.924391,-75.1461529
0101000020E6100000CC6DB1915AC952C0BEDBBC7152F64340,0101000020110F0000792B75DE2BE95FC13938E9432C855241,24698180,202503003172.0,0 BLOCK MIFFLIN ST,-75.1461529,39.924391,39.924391,-75.1461529
0101000020E6100000CC6DB1915AC952C0BEDBBC7152F64340,0101000020110F0000792B75DE2BE95FC13938E9432C855241,24698181,202503003179.0,0 BLOCK MIFFLIN ST,-75.1461529,39.924391,39.924391,-75.1461529
0101000020E6100000D5E0A6D45FCA52C0D45F12DB1BF84340,0101000020110F000057BEE4A5E7EA5FC1C67274E126875241,24339548,202503000461.0,1100 BLOCK CARPENTER ST,-75.16209904,39.9383501,39.93835009,-75.16209904
0101000020E6100000E27A907523C252C074DD6B73A9054440,0101000020110F00006B23F25DEADC5FC11A2F71122D965241,24459992,202515003038.0,3300 BLOCK ASHVILLE ST,-75.03341426,40.04423373,40.04423373,-75.03341426
0101000020E6100000665FE42B62CA52C0324CD84487084440,0101000020110F0000A869C39FEBEA5FC1F2A30D4E5B995241,24460310,202514002729.0,7500 BLOCK GILBERT ST,-75.16224191,40.06662808,40.06662808,-75.16224191
0101000020E6100000494FCBEE8DBF52C00B9734CAA3094440,0101000020110F0000B2039FB286D85FC19B20AA13979A5241,24339862,202508000581.0,3300 BLOCK S KESWICK RD,-74.99303789,40.07531097,40.07531097,-74.99303789
0101000020E6100000F4A96395D2CA52C0377007EA94FB4340,0101000020110F0000C3FB3C91AAEB5FC1763A09DFFF8A5241,24370887,202509002425.0,1900 BLOCK MOUNT VERNON ST B,-75.169103,39.965482,39.965482,-75.169103
0101000020E61000003C2F573705C852C05724059AF8FE4340,0101000020110F0000FCC2F10BE8E65FC10BDCD38FC18E5241,24519976,202524003497.0,300 BLOCK E SOMERSET ST,-75.12531837,39.99196172,39.99196172,-75.12531837
0101000020E61000006BA1E03906C752C036A6CC727E024440,0101000020110F000042C29AEB36E55FC1CE36F981A9925241,24519977,202524004205.0,4600 BLOCK PENHURST ST,-75.10975501,40.0194839,40.0194839,-75.10975501
0101000020E6100000CCFBACF036C352C05387269A51044440,0101000020110F00002D0F8C4CBEDE5FC181548FA2AF945241,24152414,202415106921.0,3300 BLOCK LONGSHORE AV,-75.05022828,40.0337403,40.0337403,-75.05022828
0101000020E610000084656CE866CB52C08B6CE7FBA9F74340,0101000020110F00000052DC82A6EC5FC12EC802C0A8865241,24339994,202517000291.0,1300 BLOCK S CAPITOL ST,-75.178156,39.934875,39.934875,-75.178156
0101000020E6100000F5F23B4D66BD52C0B41EBE4C140B4440,0101000020110F0000238D62B2DDD45FC19317671F309C5241,24216670,202508000383.0,1400 BLOCK FRANKLIN MILLS CIR,-74.959369,40.086557,40.086557,-74.959369
0101000020E61000001A71BF4BC2CE52C0C8ED76416DFA4340,0101000020110F0000894EA5445AF25FC165A25744B8895241,24396671,202518001437.0,5400 BLOCK LOCUST ST,-75.23060888,39.95645922,39.95645922,-75.23060888
0101000020E61000000F508EC0E7C352C072E4BB73AC084440,0101000020110F0000796DCDA1EADF5FC12A8DE29184995241,24122585,202507000057.0,8100 BLOCK ALGON AV,-75.06102003,40.06776282,40.06776282,-75.06102003
